subject,nodes_T2W30,re_T2W30,pe_T2W30,l1_T2W30,l2_T2W30,l3_T2W30,lcc_T2W30,lsc_T2W30,atd_T2W30,density_T2W30,diameter_T2W30,asp_T2W30,z_re_T2W30,z_pe_T2W30,z_l1_T2W30,z_l2_T2W30,z_l3_T2W30,z_lsc_T2W30,z_density_T2W30,z_diameter_T2W30,z_asp_T2W30
CDMS-10-4A-JURAN,22.638655462184875,1.2605042016806722,1.3949579831932772,0.4873949579831932,0.9495798319327732,0.7563025210084033,22.638655462184875,19.058823529411764,2.567261434217956,0.1078704084088389,8.873949579831933,3.923187753986554,2.711984991729216,0.6898990229792038,-0.2251066001679368,0.2269557134614643,-0.0406358462512198,-0.1664831606084091,-1.1140669700159724,0.6838047711620777,1.0822126831181142
CDMS-10-5A-HEPIHO,22.25925925925926,1.148148148148148,0.2592592592592592,0.0,0.2592592592592592,0.7870370370370371,22.25,18.84259259259259,2.6017256934851645,0.1170334265838745,7.361111111111111,3.319083226561241,2.128410719309047,-0.6618912622566988,-0.8841153211675611,-0.6612648589922074,-0.2195785218946834,0.0489589074215067,0.2827879294247092,-0.2293653135189879,-0.3042331402655869
CDMS-10-5A-KSRAGU,22.146067415730336,1.4943820224719102,0.4606741573033708,0.9325842696629212,0.4606741573033708,1.101123595505618,22.146067415730336,18.696629213483146,2.6558727277501712,0.1148506905483134,8.539325842696629,3.734319103477284,2.7318200803189496,-0.5498615396846375,0.3199698720287872,-0.516312158692631,0.1347205805213248,-0.1460460578554153,-0.9591266115209036,0.4359456819946183,0.5785132170670984
CDMS-10-5A-SROPU,23.47222222222222,1.6319444444444444,1.0486111111111112,0.3819444444444444,0.7708333333333334,0.3125,23.47222222222222,18.506944444444443,2.502393062172969,0.1014146121946633,9.63888888888889,4.240939091879227,3.5287784344127235,0.1208361057158184,-0.2614053404381056,-0.0563096450599923,-0.4779289445947781,-0.3332941337834058,-1.1950156542115342,0.3535202052496575,0.7601234086374243
CDMS-10-5A-SZURO,23.0,1.0769230769230769,0.2307692307692307,0.0,0.1538461538461538,0.0,23.0,15.384615384615383,2.470229046316003,0.1076423576423576,9.076923076923077,3.6833275420231946,2.3885642864041188,-0.6277069245392357,-0.8632181230087286,-0.750911319064686,-0.905070846759882,-0.8627168034078032,0.2654804773665632,0.5010909692587939,0.1849099559490657
CDMS-10-5B-SRAJA,22.10843373493976,1.8975903614457832,0.5903614457831325,0.3072289156626506,0.5903614457831325,2.8072289156626504,22.10843373493976,17.53614457831325,2.6566227694651228,0.1155810511596206,9.373493975903614,3.984397333629648,3.459985460938476,-0.2862144846535743,-0.3928834614427289,-0.2672290013531013,1.5602406694902666,-0.4192634491770012,-0.9321031649546434,0.9334581189290164,1.0793365415058076
CDMS-10-5C-DAAUSA,22.712,1.504,0.832,0.128,0.44,2.744,22.712,18.776,2.576078030344941,0.1111079903993943,8.152,3.633645434392711,2.955275770101476,-0.073826922838368,-0.6589958734727163,-0.4032484901213188,1.1536176739143305,-0.2503718965092045,-0.399016151714383,0.095427657353122,0.2394750737745173
CDMS-10-5C-ICAPA,20.956521739130437,1.826086956521739,0.391304347826087,2.1739130434782608,0.391304347826087,0.217391304347826,20.956521739130437,18.91304347826087,2.707462748065673,0.1149295768391322,8.043478260869565,3.6713768240508338,2.692522889249156,-0.660040201133925,1.9412647252364672,-0.6397473653742057,-0.8055033159175228,0.6583609981995019,-2.293940096562646,0.7614909764170482,1.8237838679225504
CDMS-10-5C-JFALGI,24.433962264150946,0.2830188679245283,0.0,0.0,0.0,0.5094339622641509,24.433962264150946,20.943396226415093,2.3830703076888478,0.1014450702883844,8.867924528301886,3.8124353029767306,0.6368148201223236,-0.692478849387197,-0.6796941108048852,-0.7007051168003711,0.0392133974504503,0.4417107766306465,0.7912406942782716,-0.5244643756066955,-0.7552283464406669
CDMS-10-5C-NBEMO,23.78787878787879,0.106060606060606,1.0454545454545454,0.7727272727272727,1.0,0.3636363636363636,23.454545454545453,17.363636363636363,2.383055640012162,0.0978199994998414,9.515151515151516,3.962371617357056,-0.1294319423020554,0.5047063449784603,0.2108276342785815,0.5084250572756734,-0.3210999915328646,0.2864773685707215,-0.5525943040344801,0.108740898185188,0.0868279691060893
CDMS-10-6B-ASCACO,21.649484536082475,1.556701030927835,2.7216494845360826,1.175257731958763,1.309278350515464,0.7835051546391752,21.63917525773196,17.11340206185567,2.696176682619114,0.1138710326589049,9.0,3.832288254096652,1.8614183482256288,1.2701423352963863,0.3683749037715561,0.2049574267047672,-0.4530101931301512,-0.3334392752755753,-1.351366369909575,0.9860557301300994,1.2328365310934783
CDMS-10-6B-JJMOBE,23.0,0.7272727272727273,0.0,0.0,0.0,0.0,22.954545454545453,19.363636363636363,2.453911246855911,0.1088828431120921,8.727272727272727,3.518363448146057,1.4750019935975098,-0.916673035363786,-0.8746730072975971,-0.9284125288566204,-0.9155560550812758,0.7862450995239794,0.7985743679094884,0.0272451364952146,-0.4772603212384871
