subject,edges_T2W30,diameter_T2W30,asp_T2W30
CDMS-10-4A-JURAN,0.5121684188005443,-0.3738220395546984,-0.2048066980521201
CDMS-10-5A-HEPIHO,0.16571776035549102,-1.451423100347387,-1.422838570108928
CDMS-10-5A-KSRAGU,0.5121684188005443,-0.6121759032083076,-0.5856150275859371
CDMS-10-5A-SROPU,0.5121684188005443,0.17104737507539544,0.43586265529884805
CDMS-10-5A-SZURO,-0.9269343162789045,-0.2292431831199067,-0.6884272798326359
CDMS-10-5B-SRAJA,0.5121684188005443,-0.017994512525290884,-0.08139226313927256
CDMS-10-5C-DAAUSA,0.5121684188005443,-0.8880696933201012,-0.788599332544767
CDMS-10-5C-ICAPA,-1.4196705788332749,-0.9653701742530755,-0.7125230359865197
CDMS-10-5C-JFALGI,0.5121684188005443,-0.3781137085295091,-0.42811244915005925
CDMS-10-5C-NBEMO,-1.188589359020609,0.08290873505797162,-0.12580183665999783
CDMS-10-6B-ASCACO,0.24697294055781233,-0.2840358070553851,-0.3880837353751247
CDMS-10-6B-JJMOBE,-1.4011840812482603,-0.4783005646448095,-1.0210378049410846
CDMS-11-5A-EAARCA,0.5121684188005443,0.8943438336310786,0.8255905797836421
CDMS-11-5A-MGTHAR,0.17058364038983598,-0.17198796934463123,-0.04397010788199328
CDMS-11-6A-DFVEBE,0.5121684188005443,-0.6941502952997248,-0.821384415678862
CDMS-11-6A-NMREPR,0.5121684188005443,1.1485758322463966,1.2078094297296391
CDMS-11-6B-ARAHE,0.5121684188005443,-0.3275655027374602,-0.26408201801869247
CDMS-11-6B-AVROTO,0.5121684188005443,-0.32457343939789346,-0.3184256085628257
CDMS-11-6B-EAFESA,0.5121684188005443,1.3923971010311238,1.3115512808085492
CDMS-11-6B-EFRGR,0.5121684188005443,-0.2583341123227638,-0.20085889714475388
CDMS-11-6B-EROCO,0.5121684188005443,0.6091709355118625,0.8336224650984653
CDMS-11-6B-JACUPE,0.13540332774154978,-1.7680027053079292,-1.7800523026300041
CDMS-11-6B-JDCHBA,0.09354053984610596,-0.06858579812390521,-0.26778933166053476
CDMS-11-6B-JFSAHE,0.5121684188005443,0.2727652939227524,0.31086723116689235
CDMS-11-6B-JLPENA,-3.022218838234061,-0.3083189017540625,-0.3625827391745892
CDMS-11-6B-JMARME,0.2628385791291538,0.33137399486699187,0.45043957137907803
CDMS-11-6B-JPSAMA,0.5121684188005443,0.806679863160235,0.8519657186715155
CDMS-11-6B-LESTA,-1.110063380540134,0.5886971579709748,0.4817513770927783
CDMS-11-6B-MEBRTA,0.5121684188005443,1.6411104393262945,1.5429109500495832
CDMS-11-6B-MMAMO,0.5121684188005443,-0.30934610542152047,-0.3043498200041133
CDMS-11-6B-RSECA,0.5121684188005443,2.2148671402970965,2.2627240832343625
CDMS-11-6B-SCAPA,0.5121684188005443,0.8098597922279196,0.8792953823195953
CDMS-11-6B-VZAPE,0.5121684188005443,-0.6343493043477885,-0.37949444506078983
CDMS-11-6B-YLNIME,0.5121684188005443,-0.551149848740843,-0.3178729635796371
CDMS-11-7C-ICARE,0.5121684188005443,-1.7086440293778276,-1.4917335413522494
CDMS-11-7C-SALMA,0.5121684188005443,-1.0900641433693987,-0.9918195529504387
CDMS-11-7C-SPGAVE,-1.2867100000487646,0.6748351118154914,0.6754795101245508
CDMS-12-5A-SRIGO,0.5121684188005443,0.5393264719750591,0.4366497428218436
CDMS-12-6A-FAROPA,0.5121684188005443,-0.5418636755125144,-0.5247635385227335
CDMS-12-6A-JGIGA,0.5121684188005443,0.1619285060194677,0.04339130826455888
CDMS-12-6A-SROAL,0.5121684188005443,-0.8655085508604631,-1.0178542501659131
CDMS-12-6B-IJDAGA,0.5121684188005443,0.1051254634326984,0.14593703378699505
CDMS-12-6B-SCLAG,0.09046413372603569,-2.023926176940991,-1.9883891562188223
CDMS-12-7C-ARAHE,-1.826373525703555,-1.619606015482675,-1.3738360902022078
CDMS-12-7C-CATRAR,0.5121684188005443,-0.6401878626359957,-0.846891882872389
CDMS-12-7C-DLOLO,0.5121684188005443,0.14031557831725766,0.11534493308003584
CDMS-12-7C-JSZAOR,-0.3801699547602308,0.42826830410583616,0.18081680593045665
CDMS-12-7C-MAROBE,0.5121684188005443,-0.1504787862126561,0.09337984518094374
CDMS-12-7C-VMAPA,0.5121684188005443,-0.8668300798236571,-0.5922283248241852
