number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,6.605723922111463,2026-06-10 16:11:36.799408,2026-06-10 16:11:38.991333,0 days 00:00:02.191925,,,,0.3470266988650412,0.020584494295802447,,,,,,,,,,ElasticNet,,,,,,13,,,,,,,,True,-0.014224872537591469,-0.0018961869687497811,98.0,-0.008060529753170625,0.006164342784420844,0.03090725229372295,1.9844674545084815,6.548089889896607,6.663357954326319,98.0,6.605723922111463,0.05763403221485577,0.2889699091476565,1.9844674545084815,241267328722500.34,485456424701675.6,98.0,363361876712088.0,122094547989587.66,612166962541293.9,1.9844674545084815,16.40560082052248,16.920162375623043,98.0,16.66288159807276,0.25728077755028217,1.289973997255391,1.9844674545084815,6.271859238694774,6.430804697145837,98.0,6.351331967920306,0.07947272922553175,0.3984664348731563,1.9844674545084815,99.0,0.494949494949495,-0.023310372901628088,0.0003671426018701223,98.0,-0.011471615149878982,0.011838757751749104,0.05935806710852071,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",13,"['nodes_T2W20', 'edges_T2W20', 're_T2W20', 'pe_T2W20', 'l1_T2W20', 'l2_T2W20', 'l3_T2W20', 'lcc_T2W20', 'lsc_T2W20', 'atd_T2W20', 'density_T2W20', 'diameter_T2W20', 'asp_T2W20']",0.04791827531388122,0.10500121278800693,98.0,0.07645974405094408,0.02854146873706286,0.1431033941394755,1.9844674545084815,7.691140540773582,7.83851246494329,98.0,7.764826502858436,0.07368596208485394,0.3694523001572916,1.9844674545084815,completed,True,COMPLETE
1,6.583110915746084,2026-06-10 16:11:39.012849,2026-06-10 16:11:42.301437,0 days 00:00:03.288588,,,,,,,,,,,,,,,LinearRegression,,,,,,3,,,,,,,,False,-0.01037044347839551,0.0013206316912560238,98.0,-0.0045249058935697434,0.005845537584825767,0.02930880245388954,1.9844674545084815,6.524318800807543,6.641903030684625,98.0,6.583110915746084,0.05879211493854112,0.2947763926885143,1.9844674545084815,247528155191654.62,498047018576471.0,98.0,372787586884062.8,125259431692408.17,628035297983408.0,1.9844674545084815,16.547989374140002,17.104753708343793,98.0,16.826371541241897,0.278382167101894,1.395773754573895,1.9844674545084815,6.306124519679533,6.443461794035607,98.0,6.37479315685757,0.06866863717803709,0.34429605363471316,1.9844674545084815,99.0,0.43434343434343436,-0.018703168269016916,0.004553710826722612,98.0,-0.007074728721147152,0.011628439547869764,0.05830355764715691,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",3,"['l2_T2W20', 'atd_T2W20', 'density_T2W20']",0.04911195158755598,0.1037834553276357,98.0,0.07644770345759584,0.02733575187003986,0.13705807889547936,1.9844674545084815,7.6721919229095725,7.8252014712165145,98.0,7.7486966970630435,0.076504774153471,0.3835854752288534,1.9844674545084815,completed,False,COMPLETE
2,6.6204103519092525,2026-06-10 16:11:42.324727,2026-06-10 16:11:58.174262,0 days 00:00:15.849535,,,,,,,,,,,,,,,RandomForestRegressor,3.0,sqrt,5.0,12.0,126.0,10,,,,,,,,False,-0.01682481924950654,-0.003365181529047484,98.0,-0.010095000389277013,0.006729818860229529,0.03374247939777918,1.9844674545084815,6.554672472643495,6.68614823117501,98.0,6.6204103519092525,0.06573787926575718,0.3296015959488772,1.9844674545084815,204342892065652.8,411981992913190.94,98.0,308162442489421.9,103819550423769.06,520538385061562.56,1.9844674545084815,16.713971238584943,17.565938778772196,98.0,17.13995500867857,0.4259837700936253,2.135829936094628,1.9844674545084815,6.058074978332174,6.250208644224577,98.0,6.154141811278375,0.09606683294620108,0.48166721851210836,1.9844674545084815,99.0,0.6262626262626263,-0.030268256615299263,-0.003140232153150395,98.0,-0.01670424438422483,0.013564012231074434,0.06800827968238124,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",10,"['nodes_T2W20', 'pe_T2W20', 'l1_T2W20', 'l2_T2W20', 'l3_T2W20', 'lcc_T2W20', 'lsc_T2W20', 'atd_T2W20', 'density_T2W20', 'asp_T2W20']",0.07095071880644839,0.12958637507499893,98.0,0.10026854694072367,0.029317828134275272,0.1469959641342671,1.9844674545084815,7.700945979277941,7.870644971735144,98.0,7.785795475506543,0.08484949622860109,0.4254248796092957,1.9844674545084815,completed,False,COMPLETE
3,6.594833012728118,2026-06-10 16:11:58.186999,2026-06-10 16:12:19.504888,0 days 00:00:21.317889,,,,,,5.0,sqrt,4.0,12.0,296.0,,,,,ExtraTreesRegressor,,,,,,13,,,,,,,,False,-0.009691802526956412,-0.0026705109827634787,98.0,-0.0061811567548599455,0.003510645772096467,0.01760194369240801,1.9844674545084815,6.540030015741429,6.649636009714806,98.0,6.594833012728118,0.05480299698668837,0.27477544866591225,1.9844674545084815,228670619201411.53,460211357811457.9,98.0,344440988506434.7,115770369305023.16,580458312813310.9,1.9844674545084815,16.586750809939158,17.250510415783413,98.0,16.918630612861286,0.3318798029221292,1.664004283802822,1.9844674545084815,6.211837452525946,6.35700175914129,98.0,6.284419605833618,0.07258215330767162,0.3639179394714095,1.9844674545084815,99.0,0.36363636363636365,-0.0006925553698518922,0.010924379693072306,98.0,0.005115912161610206,0.005808467531462099,0.029122937791277285,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",13,"['nodes_T2W20', 'edges_T2W20', 're_T2W20', 'pe_T2W20', 'l1_T2W20', 'l2_T2W20', 'l3_T2W20', 'lcc_T2W20', 'lsc_T2W20', 'atd_T2W20', 'density_T2W20', 'diameter_T2W20', 'asp_T2W20']",0.07856717270451963,0.1313613746114791,98.0,0.10496427365799936,0.026397100953479725,0.13235179929545804,1.9844674545084815,7.6335162689010145,7.776961338315945,98.0,7.70523880360848,0.07172253470746492,0.3596079181305924,1.9844674545084815,completed,False,COMPLETE
4,7.55664650655181,2026-06-10 16:12:19.517930,2026-06-10 16:12:21.342203,0 days 00:00:01.824273,12.0,5.0,4.0,,,,,,,,,,,,DecisionTreeRegressor,,,,,,2,,,,,,,,True,-0.17259401886722095,-0.13481203922627902,98.0,-0.15370302904674998,0.018890989820470955,0.09471708645649299,1.9844674545084815,7.43233928730456,7.68095372579906,98.0,7.55664650655181,0.1243072192472494,0.6232610225563301,1.9844674545084815,179568440831017.12,385993027525734.1,98.0,282780734178375.6,103212293347358.52,517493673188108.06,1.9844674545084815,20.342373043974,21.659743358142407,98.0,21.001058201058203,0.658685157084202,3.3025659091481994,1.9844674545084815,6.777259557002093,7.208081953339416,98.0,6.992670755170755,0.21541119816866172,1.0800451048112008,1.9844674545084815,99.0,1.0,-0.4412199516122439,-0.36369275539911483,98.0,-0.4024563535056794,0.038763598106564566,0.1943558864896308,1.9844674545084815,DecisionTreeRegressor,"{'mode': 'original', 'type': 'DecisionTreeRegressor'}",2,"['pe_T2W20', 'atd_T2W20']",-0.032073458870894966,0.021902479847941032,98.0,-0.005085489511476966,0.026987969359418,0.1353143404021723,1.9844674545084815,8.992568037318021,9.248873408975763,98.0,9.120720723146892,0.1281526858288714,0.6425417163758965,1.9844674545084815,completed,True,COMPLETE
5,6.617595856085951,2026-06-10 16:12:21.354391,2026-06-10 16:12:23.071159,0 days 00:00:01.716768,,,,,,,,,,,,,,,LinearRegression,,,,,,6,,,,,,,,True,-0.01818391789473979,-0.0016688046925295626,98.0,-0.009926361293634677,0.008257556601105115,0.041402367474610124,1.9844674545084815,6.551256292083394,6.683935420088508,98.0,6.617595856085951,0.06633956400255657,0.3326183688007277,1.9844674545084815,242917433664746.5,489122378883855.6,98.0,366019906274301.06,123102472609554.55,617220571922184.0,1.9844674545084815,17.091972368255377,17.769740654797346,98.0,17.43085651152636,0.33888414327098315,1.6991231799907909,1.9844674545084815,6.24294795460264,6.421995285877717,98.0,6.332471620240178,0.08952366563753886,0.44886058690817426,1.9844674545084815,99.0,0.6060606060606061,-0.04684322539807502,-0.012263483933030457,98.0,-0.02955335466555274,0.01728987073252228,0.08668927338149791,1.9844674545084815,LinearRegression,"{'mode': 'original', 'type': 'LinearRegression'}",6,"['nodes_T2W20', 're_T2W20', 'l2_T2W20', 'lsc_T2W20', 'atd_T2W20', 'diameter_T2W20']",0.061873238315534346,0.1175456479832383,98.0,0.08970944314938632,0.027836204833851973,0.1395672881582695,1.9844674545084815,7.745594881341012,7.914515749009786,98.0,7.830055315175399,0.08446043383438667,0.42347416888529515,1.9844674545084815,completed,True,COMPLETE
6,6.627498008092928,2026-06-10 16:12:23.098170,2026-06-10 16:12:25.087135,0 days 00:00:01.988965,,,,2.7293781650374753,0.4722149251619493,,,,,,,,,,ElasticNet,,,,,,3,,,,,,,,True,-0.013380679430779854,-0.008893955135025116,98.0,-0.011137317282902485,0.002243362147877369,0.011247940342621353,1.9844674545084815,6.574308767939248,6.680687248246609,98.0,6.627498008092928,0.053189240153680824,0.26668427150027224,1.9844674545084815,240097055277996.7,482983002357886.44,98.0,361540028817941.56,121442973539944.89,608900048839780.0,1.9844674545084815,16.375875457068304,16.7827285436867,98.0,16.579302000377503,0.20342654330919852,1.0199555276496635,1.9844674545084815,6.3075630876431,6.462103167960562,98.0,6.384833127801831,0.07727004015873129,0.3874224243284664,1.9844674545084815,99.0,0.7272727272727273,-0.0024551937100693406,-0.0006446496182383322,98.0,-0.0015499216641538364,0.0009052720459155042,0.004538922071023988,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",3,"['l2_T2W20', 'diameter_T2W20', 'asp_T2W20']",0.002613017980486458,0.08192338312505118,50.0,0.042268200552768816,0.03965518257228236,0.14099393264286839,2.008559112100761,7.662831577018935,7.800786283706051,98.0,7.731808930362493,0.06897735334355844,0.3458439183055477,1.9844674545084815,completed,True,COMPLETE
7,6.66865761373047,2026-06-10 16:12:25.131078,2026-06-10 16:12:35.171029,0 days 00:00:10.039951,,,,,,,,,,,,,,,RandomForestRegressor,14.0,sqrt,3.0,5.0,64.0,11,,,,,,,,False,-0.026600918773513067,-0.008247082629454413,98.0,-0.01742400070148374,0.009176918072029328,0.04601193217999867,1.9844674545084815,6.590559717366206,6.746755510094733,98.0,6.66865761373047,0.07809789636426373,0.3915731929508701,1.9844674545084815,199333537805442.12,405057696445478.0,98.0,302195617125460.06,102862079320017.92,515737743370711.75,1.9844674545084815,17.358861673345917,18.35416303605663,98.0,17.856512354701273,0.4976506813553549,2.4951589651480046,1.9844674545084815,6.064762926877817,6.284964753876245,98.0,6.174863840377031,0.11010091349921422,0.5520323626210046,1.9844674545084815,99.0,0.7373737373737373,-0.07034031648401111,-0.036214173470129424,98.0,-0.053277244977070266,0.01706307150694084,0.08555213011574989,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",11,"['nodes_T2W20', 're_T2W20', 'pe_T2W20', 'l1_T2W20', 'l2_T2W20', 'l3_T2W20', 'lcc_T2W20', 'lsc_T2W20', 'atd_T2W20', 'density_T2W20', 'asp_T2W20']",0.059974782336283866,0.11006867522485442,98.0,0.08502172878056914,0.025046946444285276,0.12558229157816436,1.9844674545084815,7.829886910370083,8.014669756345086,98.0,7.922278333357585,0.09239142298750155,0.4632391675666804,1.9844674545084815,completed,False,COMPLETE
8,6.610728241379391,2026-06-10 16:12:35.183576,2026-06-10 16:12:47.800872,0 days 00:00:12.617296,,,,,,18.0,sqrt,5.0,7.0,134.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,True,-0.012357284005525639,-0.004787839167557463,98.0,-0.00857256158654155,0.003784722418984088,0.01897613010114926,1.9844674545084815,6.55405220214883,6.6674042806099525,98.0,6.610728241379391,0.05667603923056106,0.2841666508123083,1.9844674545084815,236513049701076.25,476023391280837.5,98.0,356268220490956.9,119755170789880.62,600437614604274.2,1.9844674545084815,16.231428809043848,16.796598685047137,98.0,16.514013747045492,0.28258493800164375,1.4168459280519126,1.9844674545084815,6.256861045527488,6.410652702523883,98.0,6.333756874025686,0.07689582849819741,0.3855461733463497,1.9844674545084815,99.0,0.3939393939393939,-0.003714340292028164,0.0074699859374072475,98.0,0.001877822822689542,0.005592163114717706,0.028038414199003745,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['pe_T2W20', 'l1_T2W20', 'l2_T2W20', 'lsc_T2W20']",0.0365983956922826,0.09183947535024237,98.0,0.06421893552126248,0.027620539828979888,0.138485970498039,1.9844674545084815,7.646085483742014,7.789605713902543,98.0,7.7178455988222785,0.07176011508026492,0.3597963414717404,1.9844674545084815,completed,True,COMPLETE
9,6.605008417508418,2026-06-10 16:12:47.832755,2026-06-10 16:12:50.089976,0 days 00:00:02.257221,,,,,,,,,,,,,,5.18260989109199,QuantileRegressor,,,,,,5,,,,,,,,False,-0.009383989351067814,-0.00581174699890716,98.0,-0.007597868174987487,0.0017861211760803273,0.008955390663185256,1.9844674545084815,6.549062942989298,6.660953892027537,98.0,6.605008417508418,0.05594547451911955,0.28050368970792594,1.9844674545084815,218928095860716.0,440690031380418.75,98.0,329809063620567.4,110880967759851.39,555943458204014.44,1.9844674545084815,17.587975260093824,18.028186356067796,98.0,17.80808080808081,0.22010554798698528,1.1035819941867564,1.9844674545084815,6.117284152773188,6.317059281570247,98.0,6.217171717171717,0.09988756439852922,0.5008238934527222,1.9844674545084815,99.0,1.0,-0.039076867917662336,-0.02895067514322863,98.0,-0.034013771530445484,0.0050630963872168545,0.02538573906412812,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",5,"['lsc_T2W20', 'atd_T2W20', 'density_T2W20', 'diameter_T2W20', 'asp_T2W20']",,,,,,,,7.782268300972226,7.929214715137163,98.0,7.855741508054694,0.0734732070824687,0.36838557288961093,1.9844674545084815,completed,False,COMPLETE
