number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,2.8894607716242637,2026-06-12 11:33:00.844773,2026-06-12 11:33:02.624547,0 days 00:00:01.779774,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.02967431967188336,-0.012872081033751441,98.0,-0.0212732003528174,0.008401119319065958,0.04212217318612933,1.9844674545084815,2.8558214672725852,2.9231000759759422,98.0,2.8894607716242637,0.033639304351678445,0.16866331139311236,1.9844674545084815,887423865082834.5,1126020921047404.5,98.0,1006722393065119.5,119298527982284.97,598148064046160.9,1.9844674545084815,8.381908067659532,8.7624922480006,98.0,8.572200157830066,0.19029209017053347,0.9541010041272597,1.9844674545084815,2.480606302514753,2.557032531056572,98.0,2.5188194167856626,0.03821311427090956,0.19159582862341268,1.9844674545084815,99.0,0.6767676767676768,-0.047003122551605055,-0.018520126895908255,98.0,-0.032761624723756655,0.014241497827848401,0.07140510867083012,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.06768233795555557,0.11850361045013337,98.0,0.09309297420284447,0.025410636247288895,0.12740578726800428,1.9844674545084815,3.4810698514579532,3.5737031638380325,98.0,3.527386507647993,0.046316656190039454,0.23222598553167081,1.9844674545084815,completed,False,COMPLETE
1,3.6454465044053643,2026-06-12 11:33:02.644978,2026-06-12 11:33:08.724951,0 days 00:00:06.079973,,,,,,,,,,,,,,,XGBRegressor,,,,,,2,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.3122341006853386,-0.2684813488278364,98.0,-0.2903577247565875,0.021876375928751055,0.10968544316046851,1.9844674545084815,3.589316381852789,3.7015766269579395,98.0,3.6454465044053643,0.056130122552575316,0.2814294921097619,1.9844674545084815,827626114379000.8,1090431865176449.0,98.0,959028989777724.9,131402875398724.11,658837764884383.6,1.9844674545084815,10.766007632324643,11.335043764017597,98.0,11.05052569817112,0.2845180658464772,1.4265383919699297,1.9844674545084815,3.0617247973277637,3.242033568611598,98.0,3.151879182969681,0.09015438564191713,0.4520229390004824,1.9844674545084815,99.0,1.0,-0.7585885469930597,-0.6544929516201049,98.0,-0.7065407493065823,0.05204779768647743,0.2609612201472902,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",2,"['z_diameter_T6W40', 'z_asp_T6W40']",-0.09577895731557869,-0.04524979396719063,98.0,-0.07051437564138466,0.02526458167419403,0.1266734877030444,1.9844674545084815,4.452856071317856,4.575935101702869,98.0,4.514395586510362,0.06153951519250629,0.30855151775387324,1.9844674545084815,completed,False,COMPLETE
2,2.8830353959765724,2026-06-12 11:33:08.738026,2026-06-12 11:33:10.444184,0 days 00:00:01.706158,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,7,,,,,,,,True,,,,,,,,,-0.021252026473801124,-0.016806201126872575,98.0,-0.01902911380033685,0.0022229126734642757,0.01114540920717625,1.9844674545084815,2.858711078708132,2.907359713245013,98.0,2.8830353959765724,0.024324317268440213,0.12195911826776791,1.9844674545084815,903167441881690.2,1147455532834032.0,98.0,1025311487357861.1,122144045476170.84,612415136817000.6,1.9844674545084815,8.071146604360724,8.387843294629178,98.0,8.229494949494951,0.15834834513422688,0.7939390174287464,1.9844674545084815,2.5324619119149125,2.5511744517214514,98.0,2.541818181818182,0.009356269903269335,0.04691118007897756,1.9844674545084815,99.0,1.0,-0.0023597843357151347,-0.0013248247220964534,98.0,-0.001842304528905794,0.0005174798068093406,0.002594579747639062,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",7,"['z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,3.438656665519906,3.5126658591253976,98.0,3.4756612623226517,0.03700459680274597,0.1855364715116857,1.9844674545084815,completed,True,COMPLETE
3,2.95674838974679,2026-06-12 11:33:10.463512,2026-06-12 11:33:16.564291,0 days 00:00:06.100779,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,4,,,,,,,,False,,,,,,,,,-0.05141627485904277,-0.038771896883090386,98.0,-0.04509408587106658,0.006322188987976193,0.03169867363538182,1.9844674545084815,2.9269094370128745,2.9865873424807057,98.0,2.95674838974679,0.029838952733915458,0.14960881842235937,1.9844674545084815,895606828748205.1,1138497453823485.8,98.0,1017052141285845.5,121445312537640.34,608911776284929.6,1.9844674545084815,8.224540880198354,8.496280315278206,98.0,8.36041059773828,0.13586971753992483,0.6812339589057866,1.9844674545084815,2.5517904985303694,2.6317966915120588,98.0,2.591793595021214,0.040003096490844645,0.20057057808293838,1.9844674545084815,99.0,0.9494949494949495,-0.07716418292829663,-0.05702728239276742,98.0,-0.06709573266053202,0.010068450267764604,0.050481964341611466,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",4,"['z_re_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40']",-0.07706519401214366,-0.031011261401691918,98.0,-0.05403822770691779,0.023026966305225872,0.11545436099909222,1.9844674545084815,3.5454835516222913,3.6258183159568094,98.0,3.5856509337895504,0.040167382167259055,0.20139428614505617,1.9844674545084815,completed,False,COMPLETE
4,4.014854426619133,2026-06-12 11:33:16.576896,2026-06-12 11:33:18.677521,0 days 00:00:02.100625,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,4,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.4436996489684229,-0.3962091209919045,98.0,-0.4199543849801637,0.023745263988259227,0.11905581674026486,1.9844674545084815,3.945299917475243,4.084408935763022,98.0,4.014854426619133,0.06955450914389005,0.34873770610377297,1.9844674545084815,892334053096885.2,1168136364654323.8,98.0,1030235208875604.5,137901155778719.19,691419338979752.1,1.9844674545084815,11.410047403870673,11.84247784865458,98.0,11.626262626262626,0.2162152223919545,1.0840763828222773,1.9844674545084815,3.5424713714964513,3.7908619618368817,98.0,3.6666666666666665,0.12419529517021506,0.6226998490772392,1.9844674545084815,99.0,1.0,-1.1143674217585147,-0.9911018335007457,98.0,-1.05273462762963,0.06163279412888449,0.3090192068038101,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",4,"['z_pe_T6W40', 'z_l1_T6W40', 'z_l3_T6W40', 'z_density_T6W40']",-0.06576048811329657,-0.012884593664629608,98.0,-0.039322540888963094,0.026437947224333486,0.1325565974455099,1.9844674545084815,4.880711288773984,5.024563709650771,98.0,4.952637499212377,0.07192621043839344,0.360629123054145,1.9844674545084815,completed,True,COMPLETE
5,3.0419835513021494,2026-06-12 11:33:18.699842,2026-06-12 11:33:45.646620,0 days 00:00:26.946778,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,4,,,,,,,,False,,,,,,,,,-0.08544902614275841,-0.06524733867740977,98.0,-0.07534818241008409,0.010100843732674322,0.05064438116813235,1.9844674545084815,3.0054265688001656,3.078540533804133,98.0,3.0419835513021494,0.036556982501983665,0.1832921887701576,1.9844674545084815,874330083814277.5,1126898928846016.2,98.0,1000614506330146.9,126284422515869.39,633174475197811.2,1.9844674545084815,8.26253317852665,8.51029870876796,98.0,8.386415943647306,0.12388276512065419,0.6211328620635449,1.9844674545084815,2.615009203160756,2.7133971025414687,98.0,2.6642031528511123,0.0491939496903566,0.24665237926858988,1.9844674545084815,99.0,0.9393939393939394,-0.15367875031089534,-0.11667807080029724,98.0,-0.1351784105555963,0.018500339755299057,0.09275841534668033,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",4,"['z_re_T6W40', 'z_pe_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40']",-0.029466132831793,0.015963716929876623,98.0,-0.00675120795095819,0.022714924880834812,0.1138898238915645,1.9844674545084815,3.6516508432205566,3.7378565486886144,98.0,3.6947536959545855,0.04310285273402893,0.21611237249762727,1.9844674545084815,completed,False,COMPLETE
6,2.8830353959765724,2026-06-12 11:33:45.660687,2026-06-12 11:33:47.307532,0 days 00:00:01.646845,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,8,,,,,,,,False,,,,,,,,,-0.021252026473801124,-0.016806201126872575,98.0,-0.01902911380033685,0.0022229126734642757,0.01114540920717625,1.9844674545084815,2.858711078708132,2.907359713245013,98.0,2.8830353959765724,0.024324317268440213,0.12195911826776791,1.9844674545084815,903167441881690.2,1147455532834032.0,98.0,1025311487357861.1,122144045476170.84,612415136817000.6,1.9844674545084815,8.071146604360724,8.387843294629178,98.0,8.229494949494951,0.15834834513422688,0.7939390174287464,1.9844674545084815,2.5324619119149125,2.5511744517214514,98.0,2.541818181818182,0.009356269903269335,0.04691118007897756,1.9844674545084815,99.0,1.0,-0.0023597843357151347,-0.0013248247220964534,98.0,-0.001842304528905794,0.0005174798068093406,0.002594579747639062,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",8,"['z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,3.438656665519906,3.5126658591253976,98.0,3.4756612623226517,0.03700459680274597,0.1855364715116857,1.9844674545084815,completed,False,COMPLETE
7,3.037931867455581,2026-06-12 11:33:47.319597,2026-06-12 11:33:49.268838,0 days 00:00:01.949241,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,6,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.0861351415469435,-0.06158802670636075,98.0,-0.07386158412665213,0.012273557420291379,0.06153809886905587,1.9844674545084815,2.9958367987389662,3.080026936172196,98.0,3.037931867455581,0.04209506871661501,0.21105946808054749,1.9844674545084815,924984038561322.4,1188131578176121.8,98.0,1056557808368722.0,131573769807399.66,659694608312667.8,1.9844674545084815,8.895734187582269,9.21996989925898,98.0,9.057852043420624,0.16211785583835586,0.8128388778730499,1.9844674545084815,2.48868220918187,2.62157460427901,98.0,2.55512840673044,0.06644619754856997,0.33315301621163096,1.9844674545084815,99.0,0.9292929292929293,-0.22648382773700906,-0.17570778877827306,98.0,-0.20109580825764106,0.025388019479367994,0.12729238959096945,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_diameter_T6W40']",-0.0015713193346338673,0.04764409278223193,98.0,0.02303638672379903,0.024607706058432897,0.1233799946102797,1.9844674545084815,3.7482345266563972,3.847248398057545,98.0,3.797741462356971,0.04950693570057386,0.2482216524126205,1.9844674545084815,completed,True,COMPLETE
8,2.8308575955634785,2026-06-12 11:33:49.281982,2026-06-12 11:33:51.535474,0 days 00:00:02.253492,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,2,,,,,,,,False,,,,,,,,,-0.0008710167252312757,5.380273699555165e-05,98.0,-0.00040860699411786203,0.0004624097311134137,0.002318465199358251,1.9844674545084815,2.805429745831736,2.856285445295221,98.0,2.8308575955634785,0.02542784973174255,0.12749209355003127,1.9844674545084815,813460468866446.8,1032935100287233.8,98.0,923197784576840.2,109737315710393.47,550209328278897.0,1.9844674545084815,8.622879029919044,8.932676525636513,98.0,8.777777777777779,0.154898747858735,0.7766431633476233,1.9844674545084815,2.487116641790159,2.684600529927013,98.0,2.585858585858586,0.09874194406842689,0.49507989481189746,1.9844674545084815,99.0,1.0,-0.026651425313173705,-0.023247098953300478,98.0,-0.02494926213323709,0.0017021631799366132,0.008534435654737752,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",2,"['z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,3.4768582676552087,3.554941969341382,98.0,3.5159001184982954,0.03904185084308663,0.19575101129528585,1.9844674545084815,completed,False,COMPLETE
9,2.915127228223643,2026-06-12 11:33:51.552977,2026-06-12 11:33:53.479339,0 days 00:00:01.926362,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,6,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.036658754524884526,-0.023754140359157613,98.0,-0.03020644744202107,0.006452307082863456,0.032351069669687864,1.9844674545084815,2.88339511522422,2.946859341223066,98.0,2.915127228223643,0.031732112999422954,0.15910088984096546,1.9844674545084815,863145447719778.0,1101991629209204.0,98.0,982568538464491.0,119423090744713.05,598772606330619.4,1.9844674545084815,8.554417384643969,8.830010286811802,98.0,8.692213835727886,0.1377964510839162,0.6908943625902508,1.9844674545084815,2.522637699073034,2.6209153290517917,98.0,2.571776514062413,0.04913881498937896,0.24637594069713964,1.9844674545084815,99.0,0.8686868686868687,-0.0748633526832552,-0.05345410058215588,98.0,-0.06415872663270554,0.010704626050549658,0.05367167103206147,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",6,"['z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_density_T6W40', 'z_diameter_T6W40']",-0.021185826640649677,0.022941652711256276,98.0,0.0008779130353032994,0.022063739675952976,0.11062486181513878,1.9844674545084815,3.539284444259859,3.62233895985737,98.0,3.5808117020586145,0.041527257798755594,0.20821253436723028,1.9844674545084815,completed,True,COMPLETE
