subject,l3_T6W40,lcc_T6W40,lsc_T6W40,atd_T6W40,density_T6W40,diameter_T6W40,asp_T6W40
CDMS-10-4A-JURAN,-0.24523693479199313,0.9684055186215368,1.3457168212112685,-0.9340266381115473,-0.7791407239286733,0.24850113691205128,0.31473858847757274
CDMS-10-5A-HEPIHO,-0.7499128891319723,1.3661779588853322,1.3087203227617383,-1.2351904780150338,-0.9776903700223389,0.41410683161343514,0.5365087878495292
CDMS-10-5A-KSRAGU,-1.258838901488594,0.4616838213821475,1.2659732656213216,-0.4902247455605762,-0.39748172859811287,-0.5081411042012062,-0.09313867479710393
CDMS-10-5A-SROPU,-1.3948710366430814,0.4379092571941086,0.13834212170377175,-0.37454811632514395,-0.6909711807178244,0.8391200297165812,0.7839313876787397
CDMS-10-5A-SZURO,-0.8813133055151707,0.43718156826455223,0.38019653973048195,-0.2971990895625635,-0.196980187755961,0.5643815573573886,0.5162686501711661
CDMS-10-5B-SRAJA,-0.6597080095883394,0.47895744043822636,0.8418267005728732,-0.43588855452034964,-0.15518210280979905,-0.2964619996263434,-0.38239636602579735
CDMS-10-5C-DAAUSA,1.3694265812829285,-0.3134150087947014,-0.3839083803961288,0.3728245248122802,0.25143738699202683,-0.012599866541231568,-0.0007793517094280619
CDMS-10-5C-ICAPA,1.2362710144908373,-2.228119076416011,-1.98972128021201,2.4556434355461754,2.6622519787176135,-1.8588635218483331,-1.8332733633181566
CDMS-10-5C-JFALGI,0.9478423199072631,-1.2336933051120844,-0.6283454839544265,1.2382285196898353,1.6657460264252963,-1.6271147179983827,-1.7513056814582113
CDMS-10-5C-MAORTO,0.6451795161103371,-1.712484071428654,-1.457133230122046,1.9227885349727902,1.737637700103461,-0.9271513295517485,-1.0849210476001467
CDMS-10-5C-NBEMO,0.4885223320007276,-0.9811610382386692,-0.8930409552247659,1.026122904423583,0.6632278563306423,-0.5898056288467433,-0.5053978725843181
CDMS-10-6B-ASCACO,0.20094791395276565,-0.638948721965519,0.262134956736601,0.5751375425893532,0.9247645799520248,-1.4599078244275125,-1.503391053278417
CDMS-10-6B-JJMOBE,-0.1772784902654775,0.4112059770510012,0.46368890652741723,-0.37934305866880247,-0.2166717359062895,-0.0022202230140336635,0.04596898488825313
CDMS-11-4A-GACHSA,1.3034578576744154,-1.1551948151002873,-0.3965293125962184,1.3061459634027752,1.0283147329748272,-0.766218762388519,-0.587327296495105
CDMS-11-5A-EAARCA,0.04283570878355801,-0.4802221774230099,0.2851477490440688,0.6232901454726723,0.8619932993042383,-1.0285938621471755,-0.8949689776027048
CDMS-11-5A-MGTHAR,0.9967020815704873,-1.953093786320562,-1.6180273692400222,2.184383189692039,1.9009866052391409,-0.9645511357394293,-1.124749089286825
CDMS-11-6A-DFVEBE,-0.7601665126108896,-0.1390170021455989,-0.5130029810698638,0.008165475378448037,0.08786301572626395,-0.06649293938715299,-0.3316692770797729
CDMS-11-6A-NMREPR,-1.1100344610097497,0.12424878320162906,0.4173310107272659,-0.02337867776583737,0.04793235297574018,-0.012067520507982347,-0.05311178619592596
CDMS-11-6B-ARAHE,-0.47317735147343093,-0.44182033361537515,0.038105442120938866,0.3955589586547704,0.3488359747982308,-0.6512215884496965,-0.5777816950373007
CDMS-11-6B-AVROTO,-0.5958278374323387,0.8734273219469636,0.16604597290039652,-0.7264721251040197,-0.5424929877133705,1.8090270717460446,1.4880106635714683
CDMS-11-6B-EAFESA,-0.5930161841818149,0.39272091674968546,0.7123665233238744,-0.3365521579547256,-0.35732403027700016,0.20187125819831178,0.26704032060024957
CDMS-11-6B-EFRGR,3.8402859719668316,-1.229633413987018,-0.7059873639004176,1.3102634007992215,0.9995316692480132,-0.766634535739002,-0.7321034053247284
CDMS-11-6B-EROCO,0.6369693889141307,-0.8614081857882233,-0.33544266418149016,0.6717812501679931,0.9201252722738579,-1.0683128841100415,-1.078361944246667
CDMS-11-6B-JACUPE,0.47463144138069335,-2.2723873929424387,-2.224205371118322,2.391246510931121,2.1247424604157548,-1.405857027655093,-1.3746136144948444
CDMS-11-6B-JDCHBA,0.1608364800592457,-1.2804649048283974,-1.0942630335165433,1.4497605282362573,0.8903965722465819,-0.5266353503599576,-0.3963502388440941
CDMS-11-6B-JFSAHE,-0.45954556840242305,1.0868300262843849,1.3240343914582464,-1.1365941904227375,-1.0193881941830794,0.06415837766452609,0.18946592705539156
CDMS-11-6B-JLPENA,0.04613859970341769,-0.26597864675904015,-0.6744600550738634,-0.007100871964438053,0.1811908526600286,0.17924983661030827,-0.06600948312872813
CDMS-11-6B-JMARME,0.19291340860117448,-0.10620016783706267,0.16020589033507618,0.07061818288992064,0.05778114444169762,0.048160132173973566,0.04166082528201276
