number,value,datetime_start,datetime_complete,duration,params_dt_max_depth,params_dt_min_samples_leaf,params_dt_min_samples_split,params_elastic_alpha,params_elastic_l1_ratio,params_et_max_depth,params_et_max_features,params_et_min_samples_leaf,params_et_min_samples_split,params_et_n_estimators,params_knn_metric,params_knn_n_neighbors,params_knn_weights,params_quantile_alpha,params_regressor,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,params_rfe_n_features,params_rfe_proxy_et_max_depth,params_rfe_proxy_et_min_samples_leaf,params_rfe_proxy_et_min_samples_split,params_rfe_proxy_et_n_estimators,params_rfe_proxy_lsvr_C,params_rfe_proxy_lsvr_epsilon,params_rfe_proxy_type,params_use_scaler,params_xgb_booster,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_d2mae_ci_lower_val,user_attrs_d2mae_ci_upper_val,user_attrs_d2mae_df_val,user_attrs_d2mae_mean_val,user_attrs_d2mae_samperror_val,user_attrs_d2mae_std_val,user_attrs_d2mae_t_critical_val,user_attrs_mae_ci_lower_val,user_attrs_mae_ci_upper_val,user_attrs_mae_df_val,user_attrs_mae_mean_val,user_attrs_mae_samperror_val,user_attrs_mae_std_val,user_attrs_mae_t_critical_val,user_attrs_mape_ci_lower_val,user_attrs_mape_ci_upper_val,user_attrs_mape_df_val,user_attrs_mape_mean_val,user_attrs_mape_samperror_val,user_attrs_mape_std_val,user_attrs_mape_t_critical_val,user_attrs_max_error_ci_lower_val,user_attrs_max_error_ci_upper_val,user_attrs_max_error_df_val,user_attrs_max_error_mean_val,user_attrs_max_error_samperror_val,user_attrs_max_error_std_val,user_attrs_max_error_t_critical_val,user_attrs_median_ae_ci_lower_val,user_attrs_median_ae_ci_upper_val,user_attrs_median_ae_df_val,user_attrs_median_ae_mean_val,user_attrs_median_ae_samperror_val,user_attrs_median_ae_std_val,user_attrs_median_ae_t_critical_val,user_attrs_n_splits_val,user_attrs_r2_below_zero_val,user_attrs_r2_ci_lower_val,user_attrs_r2_ci_upper_val,user_attrs_r2_df_val,user_attrs_r2_mean_val,user_attrs_r2_samperror_val,user_attrs_r2_std_val,user_attrs_r2_t_critical_val,user_attrs_regressor_final,user_attrs_rfe_estimator,user_attrs_rfe_n_features,user_attrs_rfe_selected_features,user_attrs_rho_ci_lower_val,user_attrs_rho_ci_upper_val,user_attrs_rho_df_val,user_attrs_rho_mean_val,user_attrs_rho_samperror_val,user_attrs_rho_std_val,user_attrs_rho_t_critical_val,user_attrs_rmse_ci_lower_val,user_attrs_rmse_ci_upper_val,user_attrs_rmse_df_val,user_attrs_rmse_mean_val,user_attrs_rmse_samperror_val,user_attrs_rmse_std_val,user_attrs_rmse_t_critical_val,user_attrs_termination_reason,user_attrs_use_scaler_final,state
0,3.035158893159209,2026-06-12 12:51:11.457206,2026-06-12 12:51:14.987942,0 days 00:00:03.530736,,,,0.00012674255898937226,0.9699098521619943,,,,,,,,,,ElasticNet,,,,,,19,,,,,,,,False,,,,,,,,,-0.08516802500063522,-0.05982479764537427,98.0,-0.07249641132300474,0.012671613677630481,0.06353390371037126,1.9844674545084815,2.989537962717283,3.0807798236011346,98.0,3.035158893159209,0.04562093044192583,0.22873770268041027,1.9844674545084815,906868051558976.2,1151405084267016.5,98.0,1029136567912996.4,122268516354020.14,613039218403545.8,1.9844674545084815,8.997040510035664,9.551627951044658,98.0,9.27433423054016,0.27729372050449735,1.3903164179574103,1.9844674545084815,2.5564713394276306,2.6578091774058996,98.0,2.607140258416765,0.05066891898913462,0.2540476929033282,1.9844674545084815,99.0,0.9393939393939394,-0.20307546490834566,-0.1479095502024847,98.0,-0.17549250755541518,0.027582957352930475,0.13829753661145866,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",19,"['nodes_T6W40', 're_T6W40', 'pe_T6W40', 'l1_T6W40', 'l2_T6W40', 'l3_T6W40', 'lcc_T6W40', 'atd_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",-0.05149224019575101,0.0014571341320976407,98.0,-0.02501755303182668,0.026474687163924322,0.1327408069584948,1.9844674545084815,3.698726432400595,3.8204254718317605,98.0,3.759575952116178,0.06084951971558251,0.3050919657736187,1.9844674545084815,completed,False,COMPLETE
1,3.427291802062022,2026-06-12 12:51:15.031491,2026-06-12 12:51:22.925194,0 days 00:00:07.893703,,,,,,,,,,,,,,,XGBRegressor,,,,,,3,,,,,,,,False,gbtree,0.7571172192068059,0.08810003129071789,6.0,215.0,0.0021465011216654484,2.6185068507773707e-08,0.5998368910791798,-0.22996357425690878,-0.19460161626963823,98.0,-0.2122825952632735,0.017680978993635257,0.08865024182908784,1.9844674545084815,3.376237950016661,3.478345654107383,98.0,3.427291802062022,0.051053852045361135,0.2559776996373882,1.9844674545084815,871412396425121.6,1126143165031613.5,98.0,998777780728367.6,127365384303245.97,638594283902602.6,1.9844674545084815,9.751254358658082,10.160701611446212,98.0,9.955977985052147,0.20472362639406522,1.026458941809436,1.9844674545084815,2.970168404119862,3.1217056811716057,98.0,3.045937042645734,0.07576863852587182,0.3798945822398868,1.9844674545084815,99.0,1.0,-0.49324505246843003,-0.41485000899393415,98.0,-0.4540475307311821,0.03919752173724795,0.1965315259046929,1.9844674545084815,XGBRegressor,"{'mode': 'original', 'type': 'XGBRegressor'}",3,"['z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",-0.07894105467839803,-0.025303452605646783,98.0,-0.05212225364202241,0.026818801036375624,0.1344661513537646,1.9844674545084815,4.115515946975556,4.228382953077329,98.0,4.1719494500264425,0.05643350305088649,0.2829506044051386,1.9844674545084815,completed,False,COMPLETE
2,2.8830353959765724,2026-06-12 12:51:22.938111,2026-06-12 12:51:24.682585,0 days 00:00:01.744474,,,,3.5204810455260365,0.2587799816000169,,,,,,,,,,ElasticNet,,,,,,15,,,,,,,,True,,,,,,,,,-0.021252026473801124,-0.016806201126872575,98.0,-0.01902911380033685,0.0022229126734642757,0.01114540920717625,1.9844674545084815,2.858711078708132,2.907359713245013,98.0,2.8830353959765724,0.024324317268440213,0.12195911826776791,1.9844674545084815,903167441881690.2,1147455532834032.0,98.0,1025311487357861.1,122144045476170.84,612415136817000.6,1.9844674545084815,8.071146604360724,8.387843294629178,98.0,8.229494949494951,0.15834834513422688,0.7939390174287464,1.9844674545084815,2.5324619119149125,2.5511744517214514,98.0,2.541818181818182,0.009356269903269335,0.04691118007897756,1.9844674545084815,99.0,1.0,-0.0023597843357151347,-0.0013248247220964534,98.0,-0.001842304528905794,0.0005174798068093406,0.002594579747639062,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",15,"['lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'density_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",,,,,,,,3.438656665519906,3.5126658591253976,98.0,3.4756612623226517,0.03700459680274597,0.1855364715116857,1.9844674545084815,completed,True,COMPLETE
3,2.9456049726291726,2026-06-12 12:51:24.700265,2026-06-12 12:51:31.115785,0 days 00:00:06.415520,,,,,,5.0,,2.0,2.0,89.0,,,,,ExtraTreesRegressor,,,,,,9,,,,,,,,False,,,,,,,,,-0.04833265191346205,-0.03409758565208907,98.0,-0.04121511878277556,0.007117533130686491,0.035686430796000444,1.9844674545084815,2.915118045358755,2.97609189989959,98.0,2.9456049726291726,0.030486927270417626,0.15285768260463609,1.9844674545084815,878599469376641.9,1111927706900942.6,98.0,995263588138792.2,116664118762150.33,584939462049304.0,1.9844674545084815,8.34199898935405,8.758127394052877,98.0,8.550063191703464,0.2080642023494142,1.043208176475499,1.9844674545084815,2.5158086700062174,2.5938402888943264,98.0,2.554824479450272,0.03901580944405439,0.19562044294142902,1.9844674545084815,99.0,0.8383838383838383,-0.07981546113322872,-0.05438772189861179,98.0,-0.06710159151592025,0.012713869617308466,0.06374576976555504,1.9844674545084815,ExtraTreesRegressor,"{'mode': 'original', 'type': 'ExtraTreesRegressor'}",9,"['nodes_T6W40', 'l1_T6W40', 'l2_T6W40', 'lcc_T6W40', 'atd_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_l1_T6W40', 'z_lsc_T6W40']",-0.0043533107023539,0.04469003484339236,98.0,0.020168362070519228,0.024521672772873128,0.12294863435737913,1.9844674545084815,3.543566692250206,3.626010848398751,98.0,3.5847887703244785,0.04122207807427259,0.2066824009743627,1.9844674545084815,completed,False,COMPLETE
4,3.9950485244602896,2026-06-12 12:51:31.127936,2026-06-12 12:51:33.234520,0 days 00:00:02.106584,,,,,,,,,,,manhattan,1.0,uniform,,KNeighborsRegressor,,,,,,8,8.0,1.0,5.0,80.0,,,ExtraTrees,,,,,,,,,,-0.43992210180332986,-0.38950888803818723,98.0,-0.41471549492075854,0.02520660688257132,0.1263828092683721,1.9844674545084815,3.934996064343865,4.055100984576714,98.0,3.9950485244602896,0.06005246011642464,0.3010956075265456,1.9844674545084815,769709127682946.9,971432974243616.4,98.0,870571050963281.6,100861923280334.72,505709208373998.3,1.9844674545084815,10.881240108385828,11.320780093634372,98.0,11.1010101010101,0.21976999262427277,1.1018995611007707,1.9844674545084815,3.2306026871982203,3.4360639794684467,98.0,3.3333333333333335,0.10273064613511314,0.5150787536377127,1.9844674545084815,99.0,1.0,-1.0803062413410582,-0.9431841844078689,98.0,-1.0117452128744635,0.06856102846659463,0.3437565168649605,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",8,"['l1_T6W40', 'l2_T6W40', 'lcc_T6W40', 'atd_T6W40', 'asp_T6W40', 'z_l1_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40']",0.00046143162325933823,0.0445822463964109,98.0,0.02252183900983512,0.022060407386575782,0.11060815412835066,1.9844674545084815,4.83601173975038,4.950696145616187,98.0,4.893353942683284,0.05734220293290397,0.28750671322241117,1.9844674545084815,completed,True,COMPLETE
5,2.9966350961691552,2026-06-12 12:51:33.247476,2026-06-12 12:52:03.836447,0 days 00:00:30.588971,,,,,,,,,,,,,,,RandomForestRegressor,11.0,,1.0,6.0,272.0,8,,,,,,,,False,,,,,,,,,-0.06921853559389872,-0.049136270807704725,98.0,-0.059177403200801726,0.010041132393096999,0.05034499589679788,1.9844674545084815,2.959057006771088,3.0342131855672223,98.0,2.9966350961691552,0.037578089398066936,0.1884118924530655,1.9844674545084815,876578099981947.6,1118929041181110.1,98.0,997753570581528.9,121175470599581.27,607558822182491.1,1.9844674545084815,8.516019445907132,8.884622815026313,98.0,8.700321130466723,0.18430168455959,0.9240658513081975,1.9844674545084815,2.5361098910531643,2.634846064971505,98.0,2.5854779780123347,0.049368086959170325,0.24752548199651864,1.9844674545084815,99.0,0.9191919191919192,-0.1366361885673539,-0.09996306480599493,98.0,-0.11829962668667442,0.018336561880679496,0.09193725333995523,1.9844674545084815,RandomForestRegressor,"{'mode': 'original', 'type': 'RandomForestRegressor'}",8,"['l1_T6W40', 'l2_T6W40', 'lsc_T6W40', 'density_T6W40', 'diameter_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40']",-0.018942770460483302,0.03405316705177153,98.0,0.0075551982956441124,0.026497968756127414,0.13285753798225278,1.9844674545084815,3.622072991402736,3.713744627027353,98.0,3.6679088092150445,0.04583581781230818,0.22981512137748972,1.9844674545084815,completed,False,COMPLETE
6,2.877864689870968,2026-06-12 12:52:03.849408,2026-06-12 12:52:05.665225,0 days 00:00:01.815817,,,,1.0979988817809656,0.6334037565104235,,,,,,,,,,ElasticNet,,,,,,20,,,,,,,,False,,,,,,,,,-0.01948442526270342,-0.014829294552662362,98.0,-0.01715685990768289,0.0023275653550205292,0.011670124808691531,1.9844674545084815,2.8529173120888656,2.9028120676530706,98.0,2.877864689870968,0.024947377782102334,0.12508306662097765,1.9844674545084815,897961538016371.2,1140952660394482.0,98.0,1019457099205426.6,121495561189055.4,609163716808196.8,1.9844674545084815,8.091839905667586,8.418317571291817,98.0,8.255078738479702,0.16323883281211574,0.8184593177731495,1.9844674545084815,2.5239802614967006,2.5495078224040935,98.0,2.536744041950397,0.01276378045369649,0.0639960165260587,1.9844674545084815,99.0,0.6363636363636364,-0.003053016903980023,0.0010147376905284631,98.0,-0.0010191396067257801,0.0020338772972542433,0.010197609211412188,1.9844674545084815,ElasticNet,"{'mode': 'original', 'type': 'ElasticNet'}",20,"['nodes_T6W40', 'pe_T6W40', 'l1_T6W40', 'l2_T6W40', 'l3_T6W40', 'lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'density_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_re_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l2_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_diameter_T6W40', 'z_asp_T6W40']",0.06496391220935224,0.12880422263569946,57.0,0.09688406742252585,0.0319201552131736,0.12139867805438202,2.002465459291007,3.4365628011499276,3.51216909979861,98.0,3.4743659504742688,0.03780314932434093,0.1895403150872086,1.9844674545084815,completed,False,COMPLETE
7,3.138737729832804,2026-06-12 12:52:05.684172,2026-06-12 12:52:07.580032,0 days 00:00:01.895860,,,,,,,,,,,euclidean,5.0,distance,,KNeighborsRegressor,,,,,,12,5.0,2.0,12.0,20.0,,,ExtraTrees,,,,,,,,,,-0.12366033760628874,-0.0962813801555366,98.0,-0.10997085888091267,0.013689478725376073,0.0686373531666771,1.9844674545084815,3.0969625139661865,3.1805129456994212,98.0,3.138737729832804,0.041775215866617234,0.209455765451172,1.9844674545084815,891172957799887.9,1130450451355582.5,98.0,1010811704577735.2,119638746777847.33,599853879007666.2,1.9844674545084815,9.27552497184289,9.73808397669339,98.0,9.50680447426814,0.23127950242525072,1.159606819706657,1.9844674545084815,2.6848836818023893,2.801517365778086,98.0,2.7432005237902377,0.05831684198784825,0.2923934328971524,1.9844674545084815,99.0,0.9797979797979798,-0.24799865646325603,-0.1973763445176867,98.0,-0.22268750049047137,0.025311155972784664,0.12690700547570655,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",12,"['nodes_T6W40', 'l1_T6W40', 'l2_T6W40', 'lcc_T6W40', 'lsc_T6W40', 'atd_T6W40', 'asp_T6W40', 'z_l1_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40', 'z_asp_T6W40']",-0.03182461997015757,0.018962335761547447,98.0,-0.006431142104305061,0.02539347786585251,0.12731975726569056,1.9844674545084815,3.7846893339461825,3.877806961530443,98.0,3.8312481477383127,0.04655881379213014,0.2334401337976587,1.9844674545084815,completed,True,COMPLETE
8,2.847252415507103,2026-06-12 12:52:07.592408,2026-06-12 12:52:09.865201,0 days 00:00:02.272793,,,,,,,,,,,,,,0.03261332783906558,QuantileRegressor,,,,,,3,,,,,,,,False,,,,,,,,,-0.010717445853278449,-0.0015208443301964504,98.0,-0.0061191450917374495,0.004598300761540999,0.023055311284529523,1.9844674545084815,2.817653698258502,2.876851132755704,98.0,2.847252415507103,0.029598717248600817,0.14840430741215244,1.9844674545084815,802106345002996.9,1019394230605730.1,98.0,910750287804363.5,108643942801366.66,544727291745202.1,1.9844674545084815,8.569446508290252,8.932642334455391,98.0,8.751044421372821,0.18159791308256915,0.9105094755342784,1.9844674545084815,2.5078318215607385,2.636291208616312,98.0,2.5720615150885253,0.06422969352778678,0.32203973919635315,1.9844674545084815,99.0,0.6868686868686869,-0.026997457069901098,-0.008637416810995651,98.0,-0.017817436940448374,0.009180020129452723,0.04602748551224632,1.9844674545084815,QuantileRegressor,"{'mode': 'original', 'type': 'QuantileRegressor'}",3,"['lcc_T6W40', 'z_l1_T6W40', 'z_asp_T6W40']",0.0696675681094436,0.13110989943858392,63.0,0.10038873377401376,0.030721165664570158,0.1229867082647203,1.998340542520741,3.4594241645448354,3.547512226562563,98.0,3.5034681955536993,0.04404403100886405,0.22083132395944688,1.9844674545084815,completed,False,COMPLETE
9,2.9588811798363333,2026-06-12 12:52:09.882675,2026-06-12 12:52:11.712919,0 days 00:00:01.830244,,,,,,,,,,,minkowski,16.0,distance,,KNeighborsRegressor,,,,,,14,5.0,1.0,4.0,70.0,,,ExtraTrees,,,,,,,,,,-0.05248281567028378,-0.038967566701536706,98.0,-0.045725191185910244,0.006757624484373536,0.033881893358140895,1.9844674545084815,2.92695673257964,2.9908056270930263,98.0,2.9588811798363333,0.03192444725669308,0.16006523001834774,1.9844674545084815,854640171040723.6,1085714971433424.4,98.0,970177571237074.0,115537400196350.36,579290234516855.4,1.9844674545084815,8.599291654692435,8.98977146070994,98.0,8.794531557701188,0.19523990300875224,0.9789087257353819,1.9844674545084815,2.568813639212416,2.649891261541076,98.0,2.609352450376746,0.04053881116433027,0.2032565851967406,1.9844674545084815,99.0,0.9191919191919192,-0.08656392785107732,-0.061123463169234185,98.0,-0.07384369551015575,0.012720232340921567,0.06377767167478733,1.9844674545084815,KNeighborsRegressor,"{'mode': 'proxy', 'type': 'ExtraTrees'}",14,"['nodes_T6W40', 'pe_T6W40', 'l1_T6W40', 'l2_T6W40', 'lcc_T6W40', 'atd_T6W40', 'density_T6W40', 'diameter_T6W40', 'asp_T6W40', 'z_pe_T6W40', 'z_l1_T6W40', 'z_l3_T6W40', 'z_lsc_T6W40', 'z_density_T6W40']",-0.038698838172638354,0.010702897549316531,98.0,-0.013997970311660913,0.024700867860977443,0.12384709636566218,1.9844674545084815,3.5539396829981307,3.638877454404075,98.0,3.596408568701103,0.04246888570297225,0.2129337402151572,1.9844674545084815,completed,True,COMPLETE
